SIM STATUS,Front Ride height (inches delta),Rear ride height (inches delta),Rake angle (degs),FW,RW,UT,NS,EC,SW,Cl * A (m^2),Cd * A (m^2),L/D,Balance (front),Radiator mass flow (kg/s),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl * A (m^2),Cd * A (m^2),Cl *  A (m^2)
ANALYZED,-0.5,-0.75,-0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.76,1.68,-2.24,0.46,0.34,-1.28,0.28,-1.42,0.74,-0.82,0.05,-0.04,0.08,-0.04,0.02,-0.53,0.08
ANALYZED,-0.5,-0.25,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.01,1.73,-2.32,0.47,0.33,-1.37,0.28,-1.47,0.76,-0.94,0.06,-0.05,0.08,-0.03,0.01,-0.53,0.08
ANALYZED,-0.5,0.25,0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.1,1.79,-2.29,0.49,0.33,-1.48,0.29,-1.56,0.8,-0.84,0.07,-0.05,0.08,-0.04,0.01,-0.5,0.08
ANALYZED,-0.5,0.75,0.842,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.18,1.81,-2.31,0.51,0.33,-1.6,0.29,-1.61,0.82,-0.76,0.07,-0.06,0.08,-0.04,0.01,-0.48,0.08
ANALYZED,-0.5,1,0.923,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.18,1.83,-2.28,0.52,0.31,-1.65,0.29,-1.64,0.83,-0.7,0.06,-0.06,0.08,-0.04,0.01,-0.47,0.09
ANALYZED,-0.25,0,0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.96,1.78,-2.22,0.45,0.33,-1.34,0.28,-1.5,0.76,-0.89,0.07,-0.05,0.08,-0.04,0.02,-0.47,0.08
ANALYZED,-0.25,-0.25,0,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.02,1.77,-2.27,0.44,0.33,-1.29,0.28,-1.49,0.75,-0.99,0.07,-0.05,0.08,-0.04,0.02,-0.48,0.08
ANALYZED,-0.25,-1,-0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-3.93,1.72,-2.29,0.40,0.35,-1.16,0.27,-1.45,0.73,-1.06,0.05,-0.04,0.08,-0.04,0.02,-0.5,0.09
ANALYZED,-0.25,-0.5,-0.23,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.11,1.75,-2.34,0.43,0.33,-1.25,0.28,-1.47,0.74,-1.09,0.07,-0.05,0.08,-0.04,0.02,-0.53,0.1
ANALYZED,-0.25,0.5,0.604,FW_17-2,RW_36-21,UT_18-6,NS_2-9,EC_BASE6_2019,SW_13-4,-4.13,1.82,-2.27,0.48,0.32,-1.45,0.29,-1.55,0.78,-0.83,0.07,-0.07,0.08,-0.04,0.02,-0.52,0.09
